id magasin,date d'ouverture,heures hebdo string,ouverture le dimanche,id magasin doublon,chiffre d'affaire,ville,numéro de téléphone
78,26-06-2016,20 heures,False,78,420109 €,MARSEILLE ,+33-657-21174
79,03-07-2016,44 heures,False,79,136381 €,Nice,+33-613-19348
80,10-07-2016,26 heures,False,80,493125 €,Lille ,+33-634-48102
81,17-07-2016,28 heures,False,81,67333 €, lyon,+33-692-99930
82,24-07-2016,43 heures,True,82,154508 €,Nice,+33-617-82267
83,31-07-2016,20 heures,False,83,225362 €, lyon,+33-608-33625
84,07-08-2016,27 heures,False,84,358357 €,MARSEILLE ,+33-657-82592
85,14-08-2016,43 heures,True,85,419111 €,Paris ,+33-606-31677
86,21-08-2016,30 heures,True,86,170810 €,MARSEILLE ,+33-612-60343
87,28-08-2016,36 heures,False,87,312890 €,Nice,+33-641-72856
88,04-09-2016,27 heures,False,88,69377 €, lyon,+33-649-98858
88,04-09-2016,27 heures,False,88,69377 €, lyon,+33-649-98858
89,11-09-2016,54 heures,True,89,461620 €, lyon,+33-665-93460
90,18-09-2016,54 heures,False,90,336189 €,Lille ,+33-628-64693
91,25-09-2016,52 heures,True,91,380032 €, lyon,+33-682-38295
92,02-10-2016,24 heures,False,92,453006 €,Lille ,+33-664-93285
93,09-10-2016,58 heures,True,93,389599 €,Paris ,+33-616-67854
94,16-10-2016,47 heures,False,94,156672 €,Nice,+33-670-47080
95,23-10-2016,26 heures,False,95,245732 €,Lille ,+33-644-45909
96,30-10-2016,28 heures,nan,96,375323 €,Paris ,+33-630-44578
97,06-11-2016,27 heures,True,97,191836 €, lyon,+33-660-36790
98,13-11-2016,31 heures,False,98,225615 €, lyon,+33-690-35289
99,20-11-2016,53 heures,True,99,65714 €,Paris ,+33-689-25485
100,27-11-2016,52 heures,nan,100,470051 €, lyon,+33-666-96188
